iteration,angle,b,min_mse,min_mae
0,45.0,0.0,76.5678,7.31007
1,45.0,0.0,76.5678,7.31007
2,39.375,4.6875,50.79843,5.67421
3,38.67188,4.88281,50.32543,5.63784
4,38.67188,4.95605,50.3206,5.63441
5,38.67188,4.96521,50.32046,5.63398
6,38.67325,4.96635,50.32044,5.63392
7,38.67299,4.9665,50.32044,5.63391
8,38.67295,4.96652,50.32044,5.63391
9,38.67295,4.96652,50.32044,5.63391
10,38.67295,4.96652,50.32044,5.63391
11,38.67295,4.96652,50.32044,5.63391
12,38.67295,4.96652,50.32044,5.63391
13,38.67295,4.96652,50.32044,5.63391
14,38.67295,4.96652,50.32044,5.63391
15,38.67295,4.96652,50.32044,5.63391
16,38.67295,4.96652,50.32044,5.63391
17,38.67295,4.96652,50.32044,5.63391
18,38.67295,4.96652,50.32044,5.63391
19,38.67295,4.96652,50.32044,5.63391
